"","siteID","mean_temp","datetime"
"320","SCBI",2.30615046728972,2019-04-01
"321","SERC",14.505915625,2019-04-01
"322","TALL",18.0840032798325,2019-04-01
"323","UKFS",13.0917486019737,2019-04-01
"324","BLAN",19.1799077956989,2019-05-01
"325","KONZ",16.5012785858586,2019-05-01
"326","ORNL",21.668045766129,2019-05-01
"327","OSBS",25.2370714862139,2019-05-01
"328","SCBI",19.2163423903697,2019-05-01
"329","SERC",19.4839345025054,2019-05-01
"330","TALL",23.6280444818304,2019-05-01
"331","UKFS",16.9528602288022,2019-05-01
"332","BLAN",21.4761416666667,2019-06-01
"333","KONZ",22.817931442577,2019-06-01
"334","ORNL",22.1987466766243,2019-06-01
"335","OSBS",26.4187034722222,2019-06-01
"336","SCBI",21.3281514583333,2019-06-01
"337","SERC",22.8111079331942,2019-06-01
"338","TALL",25.039829943899,2019-06-01
"339","UKFS",22.9461925642808,2019-06-01
"340","BLAN",24.2448190188172,2019-07-01
"341","KONZ",25.5601679892401,2019-07-01
"342","ORNL",24.572386155914,2019-07-01
"343","OSBS",26.3266452284946,2019-07-01
"344","SCBI",23.623474941452,2019-07-01
"345","SERC",25.9485177419355,2019-07-01
"346","TALL",26.3323826379542,2019-07-01
"347","UKFS",25.5202761580381,2019-07-01
"348","BLAN",22.8690616935484,2019-08-01
"349","KONZ",24.0157869325997,2019-08-01
"350","ORNL",24.3267947580645,2019-08-01
"351","OSBS",26.4730631048387,2019-08-01
"352","SCBI",NA,2019-08-01
"353","SERC",24.3518031586022,2019-08-01
"354","TALL",26.2185793405114,2019-08-01
"355","UKFS",24.2969248453608,2019-08-01
"356","BLAN",21.3406364583333,2019-09-01
"357","KONZ",23.8022721509972,2019-09-01
"358","ORNL",25.0211320138889,2019-09-01
"359","OSBS",26.3755913194444,2019-09-01
"360","SCBI",NA,2019-09-01
"361","SERC",22.3721477083333,2019-09-01
"362","TALL",27.5894784722222,2019-09-01
"363","UKFS",23.6475908835905,2019-09-01
"364","BLAN",14.7313201890614,2019-10-01
"365","KONZ",10.9592563844086,2019-10-01
"366","ORNL",17.2713509408602,2019-10-01
"367","OSBS",23.8959540322581,2019-10-01
"368","SCBI",13.3086559754852,2019-10-01
"369","SERC",16.5320210349462,2019-10-01
"370","TALL",19.4791837928716,2019-10-01
"371","UKFS",11.2667608758076,2019-10-01
"372","BLAN",5.47574923611111,2019-11-01
"373","KONZ",4.87199852398524,2019-11-01
"374","ORNL",7.53186662030598,2019-11-01
"375","OSBS",16.5157488856937,2019-11-01
"376","SCBI",5.51181553956835,2019-11-01
"377","SERC",7.20721756944444,2019-11-01
"378","TALL",11.0485973611111,2019-11-01
"379","UKFS",5.05786997915219,2019-11-01
"380","BLAN",2.94863640054127,2019-12-01
"381","KONZ",3.03420075966851,2019-12-01
"382","ORNL",8.02442284946236,2019-12-01
"383","OSBS",16.4276004707465,2019-12-01
"384","SCBI",4.12469488054608,2019-12-01
"385","SERC",4.96371182795699,2019-12-01
"386","TALL",10.6701163487738,2019-12-01
"387","UKFS",3.46649314159292,2019-12-01
"388","BLAN",3.57416034946237,2020-01-01
"389","KONZ",0.161250448585231,2020-01-01
"390","ORNL",6.59979865591398,2020-01-01
"391","OSBS",15.3826364919355,2020-01-01
"392","SCBI",3.57935909703504,2020-01-01
"393","SERC",5.00900873655914,2020-01-01
"394","TALL",10.4310352464551,2020-01-01
"395","UKFS",-0.403691184834123,2020-01-01
"396","BLAN",4.91299812545061,2020-02-01
"397","KONZ",1.47323677745665,2020-02-01
"398","ORNL",6.45995538793103,2020-02-01
"399","OSBS",15.7351079798706,2020-02-01
"400","SCBI",5.38125830065359,2020-02-01
"401","SERC",5.64811925287356,2020-02-01
"402","TALL",10.289407183908,2020-02-01
"403","UKFS",1.51835508291276,2020-02-01
"404","BLAN",9.81621840324763,2020-03-01
"405","KONZ",8.37882888888889,2020-03-01
"406","ORNL",12.9030418918919,2020-03-01
"407","OSBS",21.2674511768662,2020-03-01
"408","SCBI",9.20633615591398,2020-03-01
"409","SERC",9.71757523197716,2020-03-01
"410","TALL",17.3096490591398,2020-03-01
"411","UKFS",8.97294825268817,2020-03-01
"412","BLAN",10.5678259722222,2020-04-01
"413","KONZ",11.651479512894,2020-04-01
"414","ORNL",13.4938690277778,2020-04-01
"415","OSBS",21.3714913580247,2020-04-01
"416","SCBI",10.2511001388889,2020-04-01
"417","SERC",11.3987239583333,2020-04-01
"418","TALL",16.8513767894371,2020-04-01
"419","UKFS",11.58254125,2020-04-01
"420","BLAN",15.6821895833333,2020-05-01
"421","KONZ",16.2896647138047,2020-05-01
"422","ORNL",17.4675524193548,2020-05-01
"423","OSBS",24.6124433544304,2020-05-01
"424","SCBI",14.7460995967742,2020-05-01
"425","SERC",15.8485786290323,2020-05-01
"426","TALL",20.5518262096774,2020-05-01
"427","UKFS",16.4867557123656,2020-05-01
"428","BLAN",21.8165348623853,2020-06-01
"429","KONZ",25.0252369408369,2020-06-01
"430","ORNL",22.3266329861111,2020-06-01
"431","OSBS",25.5578984027778,2020-06-01
"432","SCBI",21.5459329861111,2020-06-01
"433","SERC",22.8112003472222,2020-06-01
"434","TALL",24.4550752228164,2020-06-01
"435","UKFS",25.0781033449477,2020-06-01
"436","BLAN",25.3707653897849,2020-07-01
"437","KONZ",25.6566778245614,2020-07-01
"438","ORNL",25.5165784946237,2020-07-01
"439","OSBS",26.8746493270525,2020-07-01
"440","SCBI",25.3634768813559,2020-07-01
"441","SERC",26.2350392484342,2020-07-01
"442","TALL",26.0333540689655,2020-07-01
"443","UKFS",25.5854650269542,2020-07-01
"444","BLAN",23.2298640054127,2020-08-01
"445","KONZ",24.2814510752688,2020-08-01
"446","ORNL",23.7938864247312,2020-08-01
"447","OSBS",26.7091450802512,2020-08-01
"448","SCBI",22.8020115696389,2020-08-01
"449","SERC",24.4869088037634,2020-08-01
"450","TALL",25.7764572115385,2020-08-01
"451","UKFS",23.9645640380693,2020-08-01
"452","BLAN",17.9292132311978,2020-09-01
"453","KONZ",19.2331266713092,2020-09-01
"454","ORNL",20.7116565277778,2020-09-01
"455","OSBS",25.3639275694444,2020-09-01
"456","SCBI",18.1030673611111,2020-09-01
"457","SERC",20.0332836578581,2020-09-01
"458","TALL",22.9285790535839,2020-09-01
"459","UKFS",19.2446650417827,2020-09-01
"460","BLAN",13.7388586021505,2020-10-01
"461","KONZ",11.8377539650538,2020-10-01
"462","ORNL",16.631509703504,2020-10-01
"463","OSBS",23.4609650537634,2020-10-01
"464","SCBI",14.2800481182796,2020-10-01
"465","SERC",15.4494740591398,2020-10-01
"466","TALL",19.3186703629032,2020-10-01
"467","UKFS",11.818407868191,2020-10-01
"468","BLAN",10.3319843532684,2020-11-01
"469","KONZ",9.78773708333333,2020-11-01
"470","ORNL",12.2534304166667,2020-11-01
"471","OSBS",20.0142666666667,2020-11-01
"472","SCBI",11.1287469444444,2020-11-01
"473","SERC",12.3116601529903,2020-11-01
"474","TALL",15.0207726388889,2020-11-01
"475","UKFS",9.84181563585823,2020-11-01
"476","BLAN",2.90394696765499,2020-12-01
"477","KONZ",2.47560047138047,2020-12-01
"478","ORNL",4.66343279569892,2020-12-01
"479","OSBS",12.8862425101215,2020-12-01
"480","SCBI",2.80993595818815,2020-12-01
"481","SERC",4.68793346774194,2020-12-01
"482","TALL",8.65751817548747,2020-12-01
"483","UKFS",2.77759179661017,2020-12-01
"484","BLAN",1.1802258526603,2021-01-01
"485","KONZ",1.41921721991701,2021-01-01
"486","ORNL",3.98939131326949,2021-01-01
"487","OSBS",13.7658620967742,2021-01-01
"488","SCBI",1.14714549731183,2021-01-01
"489","SERC",2.78433353494624,2021-01-01
"490","TALL",8.19009186827957,2021-01-01
"491","UKFS",1.13311719077568,2021-01-01
"492","BLAN",1.02493444940476,2021-02-01
"493","KONZ",-4.75390163424125,2021-02-01
"494","ORNL",4.47205238095238,2021-02-01
"495","OSBS",16.1178720774386,2021-02-01
"496","SCBI",0.815368936170213,2021-02-01
"497","SERC",1.88353947761194,2021-02-01
"498","TALL",7.99646361607143,2021-02-01
"499","UKFS",-4.77807515923567,2021-02-01
"500","BLAN",8.69886337365591,2021-03-01
"501","KONZ",9.63639166666667,2021-03-01
"502","ORNL",12.5595754032258,2021-03-01
"503","OSBS",18.4049407930108,2021-03-01
"504","SCBI",8.74984623149394,2021-03-01
"505","SERC",9.31782459677419,2021-03-01
"506","TALL",15.4379942857143,2021-03-01
"507","UKFS",9.6279832884097,2021-03-01
"508","BLAN",13.2450257724719,2021-04-01
"509","KONZ",12.238502360515,2021-04-01
"510","ORNL",14.4782459027778,2021-04-01
"511","OSBS",19.7723303571429,2021-04-01
"512","SCBI",12.7792096527778,2021-04-01
"513","SERC",13.216654375,2021-04-01
"514","TALL",17.0857059722222,2021-04-01
"515","UKFS",12.2576489554318,2021-04-01
"516","BLAN",16.7953429435484,2021-05-01
"517","KONZ",16.6176374327957,2021-05-01
"518","ORNL",18.3895443243243,2021-05-01
"519","OSBS",23.281943679031,2021-05-01
"520","SCBI",16.3798557123656,2021-05-01
"521","SERC",17.2261360354223,2021-05-01
"522","TALL",20.9250938229238,2021-05-01
"523","UKFS",16.4075521944632,2021-05-01
"524","BLAN",22.7243984859955,2021-06-01
"525","KONZ",24.7536893676164,2021-06-01
"526","ORNL",23.0004423398329,2021-06-01
"527","OSBS",24.8162451937985,2021-06-01
"528","SCBI",22.1149507670851,2021-06-01
"529","SERC",22.9086195138889,2021-06-01
"530","TALL",24.2026906944444,2021-06-01
"531","UKFS",24.5254299651568,2021-06-01
"532","BLAN",23.9388993814433,2021-07-01
"533","KONZ",25.2441059876118,2021-07-01
"534","ORNL",24.0623129704301,2021-07-01
"535","OSBS",26.0263961667787,2021-07-01
"536","SCBI",24.0361247983871,2021-07-01
"537","SERC",25.3162934162399,2021-07-01
"538","TALL",25.0597132637854,2021-07-01
"539","UKFS",25.17455,2021-07-01
"540","BLAN",23.7907629032258,2021-08-01
"541","KONZ",25.8967493382353,2021-08-01
"542","ORNL",24.1895389112903,2021-08-01
"543","OSBS",26.5911296016484,2021-08-01
"544","SCBI",23.7682554435484,2021-08-01
"545","SERC",24.6959877365102,2021-08-01
"546","TALL",25.5712795408508,2021-08-01
"547","UKFS",25.2550370169492,2021-08-01
"548","BLAN",19.7259329861111,2021-09-01
"549","KONZ",22.9972512592593,2021-09-01
"550","ORNL",20.7347362056984,2021-09-01
"551","OSBS",24.7573729861111,2021-09-01
"552","SCBI",20.1076263194444,2021-09-01
"553","SERC",21.6639372999304,2021-09-01
"554","TALL",22.941514902507,2021-09-01
"555","UKFS",22.4528713091922,2021-09-01
"556","BLAN",15.9282152086137,2021-10-01
"557","KONZ",15.5376784871617,2021-10-01
"558","ORNL",16.6825145833333,2021-10-01
"559","OSBS",22.6068899865591,2021-10-01
"560","SCBI",16.114576478586,2021-10-01
"561","SERC",17.6417673387097,2021-10-01
"562","TALL",19.5204726967048,2021-10-01
"563","UKFS",15.6830102909865,2021-10-01
"564","BLAN",6.150538125,2021-11-01
"565","KONZ",8.72748511560694,2021-11-01
"566","ORNL",7.11368813793103,2021-11-01
"567","OSBS",15.955133659902,2021-11-01
"568","SCBI",7.27909388464211,2021-11-01
"569","SERC",8.60107159722222,2021-11-01
"570","TALL",11.8733218055556,2021-11-01
"571","UKFS",8.59773205574913,2021-11-01
"572","BLAN",6.48532217741935,2021-12-01
"573","KONZ",6.35493523238381,2021-12-01
"574","ORNL",13.5879721407625,2021-12-01
"575","OSBS",17.9662458333333,2021-12-01
"576","SCBI",7.1461002688172,2021-12-01
"577","SERC",7.95471293800539,2021-12-01
"578","TALL",14.217197593985,2021-12-01
"579","UKFS",6.37451926977688,2021-12-01
"580","BLAN",-1.46817120701281,2022-01-01
"581","KONZ",-1.49592222222222,2022-01-01
"582","ORNL",2.51313015764222,2022-01-01
"583","OSBS",12.4436721774194,2022-01-01
"584","SCBI",-1.2577637630662,2022-01-01
"585","SERC",0.557093845089903,2022-01-01
"586","TALL",6.68375514458642,2022-01-01
"587","UKFS",-1.70328194822888,2022-01-01
"588","BLAN",3.63393664179104,2022-02-01
"589","KONZ",0.144441654247392,2022-02-01
"590","ORNL",6.7669709077381,2022-02-01
"591","OSBS",16.1736841909023,2022-02-01
"592","SCBI",3.52953104988831,2022-02-01
"593","SERC",4.32623492537313,2022-02-01
"594","TALL",11.7810820158103,2022-02-01
"595","UKFS",0.0833976882923192,2022-02-01
"596","BLAN",8.50894233870968,2022-03-01
"597","KONZ",6.66057165087957,2022-03-01
"598","ORNL",12.7895973273942,2022-03-01
"599","OSBS",19.0001458867925,2022-03-01
"600","SCBI",8.40506384408602,2022-03-01
"601","SERC",8.94206760752688,2022-03-01
"602","TALL",14.7315729452055,2022-03-01
"603","UKFS",7.10943870967742,2022-03-01
"604","BLAN",11.7209739803094,2022-04-01
"605","KONZ",12.4075225105189,2022-04-01
"606","ORNL",14.6682365458751,2022-04-01
"607","OSBS",20.90684125,2022-04-01
"608","SCBI",11.3535588030619,2022-04-01
"609","SERC",12.1228046527778,2022-04-01
"610","TALL",17.5580791578947,2022-04-01
"611","UKFS",11.9982200138985,2022-04-01
"612","BLAN",17.7188878031878,2022-05-01
"613","KONZ",18.4996447966919,2022-05-01
"614","ORNL",20.6904494245091,2022-05-01
"615","OSBS",24.2786493197279,2022-05-01
"616","SCBI",17.8376510923185,2022-05-01
"617","SERC",18.0514170600135,2022-05-01
"618","TALL",22.9194857431069,2022-05-01
"619","UKFS",18.561697983871,2022-05-01
"620","BLAN",22.5622180293501,2022-06-01
"621","KONZ",23.7137829215116,2022-06-01
"622","ORNL",24.5227326388889,2022-06-01
"623","OSBS",23.9675348387097,2022-06-01
"624","SCBI",21.7415281944444,2022-06-01
"625","SERC",22.4930203613621,2022-06-01
"626","TALL",26.3245150071124,2022-06-01
"627","UKFS",24.9871900886382,2022-06-01
"628","BLAN",23.6215197580645,2022-07-01
"629","KONZ",25.9169123066577,2022-07-01
"630","ORNL",25.0575726932668,2022-07-01
"631","OSBS",26.7240628133705,2022-07-01
"632","SCBI",23.9572007392473,2022-07-01
"633","SERC",25.0908479166667,2022-07-01
"634","TALL",26.5837436155914,2022-07-01
"635","UKFS",26.1693167115903,2022-07-01
